date,AUD,NZD,CAD,NOK,SEK,ZAR,MXN
2016-07-13,0.7608,0.7276,0.7705347511172753,0.11868731826004392,0.11768305599359803,0.0690512360171247,0.05444784440983982
2016-07-14,0.7632,0.7199,0.7756748371082842,0.11955430156377027,0.11768444094006332,0.07029926396670627,0.05448581734174594
2016-07-15,0.7578,0.7116,0.7707723138584861,0.11787448724598049,0.11644154634373545,0.06861722566833177,0.05374957000343997
2016-07-18,0.7591,0.7116,0.772499034376207,0.11838102115468847,0.11697411362865398,0.0702000702000702,0.05438891336389991
2016-07-19,0.7504,0.7053,0.7680491551459293,0.11747982284042716,0.11611974267865022,0.06975397772057952,0.05405317751604028
2016-07-20,0.7478,0.7026,0.765872711955273,0.11766920832156641,0.11628988743138897,0.06970244028243429,0.05353405033271412
2016-07-21,0.7495,0.6997,0.7640586797066015,0.11775372984939297,0.11635889738308841,0.07026962454939603,0.05383000484470043
2016-07-22,0.7462,0.6997,0.7617886798202179,0.11693854879260947,0.11558956457411024,0.06996725532450812,0.05391911055035237
2016-07-25,0.747,0.6996,0.7566013467503971,0.11674605398337537,0.11573136435705439,0.06962042941880865,0.05325919653176112
2016-07-26,0.7502,0.7054,0.7582650894752806,0.11669156086631816,0.11547210771238207,0.06963303391128751,0.053263451684722976
2016-07-27,0.7491,0.7076,0.7582075972401243,0.11711796121053125,0.1158923128628878,0.07013606396409033,0.05311831041278239
2016-07-28,0.7503,0.7073,0.7601094557616296,0.11688114356510865,0.11574475965600659,0.0706938602382383,0.05293021680216802
2016-07-29,0.7596,0.7199,0.7674597083653109,0.1184006440995039,0.11686475242202199,0.07205285797661164,0.0533256544390941
2016-08-01,0.7536,0.7172,0.7619628162145687,0.11767474699929396,0.11634129883426018,0.07185250118556627,0.05300905924822552
2016-08-02,0.7609,0.7243,0.7627765064836003,0.11864648094537517,0.1174632633643828,0.07142959185131216,0.05281336811973847
2016-08-03,0.7588,0.7159,0.7652865998316369,0.11828020580755812,0.11700285486965883,0.07189589474441009,0.05294478917384951
2016-08-04,0.7628,0.7173,0.7681081496274675,0.11848622005260788,0.11736538190695273,0.07296127944899641,0.0528885057410473
2016-08-05,0.7619,0.7144,0.7591861524445794,0.11754196248060557,0.11672970070504739,0.07284912945290303,0.0533213893421207
2016-08-08,0.7651,0.7138,0.7602250266078759,0.1180623605388366,0.1165433249810617,0.07366536770068288,0.05389876733519104
2016-08-09,0.7673,0.7166,0.7622532205198567,0.11895557009456968,0.11719207781553968,0.07455453664355476,0.054239053203087285
2016-08-10,0.7703,0.7206,0.765814060346148,0.12090875016624954,0.11814326051770377,0.07529326727604017,0.05430296711412312
